timestamp,ns,cgid,lag
"Sep 10, 2024 @ 14:21:42.179",tdp-farm-zsct,transportation.pipeline.observe.ecco.consignment.v1,1
"Sep 10, 2024 @ 14:21:42.179",tdp-farm-zsct,transportation.pipeline.observe.ecco.consignment.v1,1
"Sep 10, 2024 @ 14:21:42.179",tdp-farm-zsct,transportation.pipeline.sink.ecco.v1.state,1
"Sep 10, 2024 @ 14:20:42.179",tdp-farm-zsct,transportation.pipeline.sink.ecco.v1.state,1
"Sep 10, 2024 @ 14:20:42.179",tdp-farm-zsct,transportation.pipeline.sink.ecco.v1.state,1
"Sep 10, 2024 @ 14:20:42.179",tdp-farm-zsct,transportation.pipeline.sink.ecco.v1.state,1
"Sep 10, 2024 @ 14:20:42.179",tdp-farm-zsct,transportation.pipeline.sink.ecco.v1.state,1
